collector_number,casting_name,name,release_year,series,series_type,series_number,toy_number,barcode,primary_color,secondary_color,manufacturer,category,scale,packaging_type,country_of_manufacture,description,image_url
057/250,'07 Chevy Tahoe,'07 Chevy Tahoe,2024,HW First Response,Mainline,7/10,HTB60,,,,Chevrolet,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/22/Chevy_Tahoe_07_-_2024_-_HW_First_Response_-_HTB60.jpg/revision/latest
058/250,Baja Bison T5,Baja Bison T5,2024,HW First Response,Mainline,6/10,HTB61,,,,Hot Wheels,HW First Response,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/f/fc/FirstResponseBison.jpg/revision/latest
059/250,Mad Mike Drift Attack,Mad Mike Drift Attack,2024,HW Modified,Mainline,5/10,HTB66,,,,Hot Wheels,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/dc/GrayscaleDriftAttack.jpg/revision/latest
060/250,Back to the Future Time Machine - Hover Mode,Back to the Future Time Machine - Hover Mode,2024,HW Screen Time,Mainline,5/10,HTB33,,,,Hot Wheels,HW Screen Time,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b0/TimeMachineHoverMode.jpg/revision/latest
061/250,Mod Rod,Mod Rod,2024,HW Art Cars,Mainline,1/10,HTB71,,,,Hot Wheels,HW Art Cars,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/77/Mod_Rod_-_2024_-_HW_Art_Cars_-_HTB71.jpg/revision/latest
062/250,GMC Hummer EV,GMC Hummer EV,2024,HW Green Speed,Mainline,6/10,HTB83,,,,Hot Wheels,HW Green Speed,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/8c/HTB83_01.jpg/revision/latest
063/250,'55 Chevy Bel Air Gasser,'55 Chevy Bel Air Gasser,2024,HW Reverse Rake,Mainline,2/5,HTB90,,,,Chevrolet,HW Reverse Rake,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/7/74/TheCollector.jpg/revision/latest
064/250,Wheelie Chair,Wheelie Chair,2024,HW Xtreme Sports,Mainline,3/5,HTB98,,,,Hot Wheels,HW Xtreme Sports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/d/dc/Wheelchair2024.jpg/revision/latest
065/250,Surfin' School Bus,Surfin' School Bus,2024,HW Xtreme Sports,Mainline,4/5,HTB99,,,,Hot Wheels,HW Xtreme Sports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/5/5c/SurfinSchoolBus2024.jpg/revision/latest
066/250,Hotweiler,Hotweiler,2024,HW Mega Bite,Mainline,3/5,HTC03,,,,Hot Wheels,HW Mega Bite,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/4/4a/Hotweiler_-_2024_-_HW_Mega_Bite_-_HTC03.jpg/revision/latest
067/250,BMW 507,BMW 507,2024,HW Roadsters,Mainline,4/5,HTC15,,,,BMW,HW Roadsters,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/2/23/BMW507Racer.jpg/revision/latest
068/250,'57 Jeep FC,'57 Jeep FC,2024,HW Hot Trucks,Mainline,3/10,HTC30,,,,Jeep,HW Hot Trucks,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/JeepFCCustom.jpg/revision/latest
069/250,'15 Mazda MX-5 Miata,'15 Mazda MX-5 Miata,2024,HW J-Imports,Mainline,3/10,HTC42,,,,Mazda,HW J-Imports,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/c/c4/2015MazdaMX-5.jpg/revision/latest
070/250,McLaren Solus GT,McLaren Solus GT,2024,HW Modified,Mainline,6/10,HTB68,,,,McLaren,HW Modified,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/8/81/McLarenSolus.jpg/revision/latest
071/250,Vespa 90 SS Super Sprint (1966),Vespa 90 SS Super Sprint (1966),2024,Factory Fresh,Mainline,6/10,HRY52,,,,Hot Wheels,Factory Fresh,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a5/Vespa.jpg/revision/latest
072/250,Tooligan,Tooligan,2024,Experimotors,Mainline,3/5,HTF17,,,,Hot Wheels,Experimotors,1:64,Long Card,,,https://static.wikia.nocookie.net/hotwheels/images/a/a3/HWTooligan.jpg/revision/latest
